ClusterNo,P-Value,term
0,0.00119293700280196,histone ubiquitination [GO:0016574]
0,0.00676475741567075,histone monoubiquitination [GO:0010390]
0,0.00890399615775727,double-strand break repair via homologous recombination [GO:0000724]
1,0.00201406051041164,heme transport [GO:0015886]
1,0.00201406051041164,"negative regulation of mRNA splicing, via spliceosome [GO:0048025]"
1,0.00243797112155942,termination of RNA polymerase II transcription [GO:0006369]
2,0.00260549830212101,long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]
2,0.00260549830212101,fatty-acyl-CoA biosynthetic process [GO:0046949]
2,0.00633387173178572,anterior/posterior axis specification [GO:0009948]
3,0.00297521442496751,negative regulation of leukocyte proliferation [GO:0070664]
3,0.00381998512553964,focal adhesion assembly [GO:0048041]
3,0.00396005352000703,cell-substrate junction assembly [GO:0007044]
4,0.000928121723326419,ubiquinone metabolic process [GO:0006743]
4,0.000928121723326419,ubiquinone biosynthetic process [GO:0006744]
4,0.000928121723326419,quinone cofactor biosynthetic process [GO:0045426]
5,0.0024145220741596,protein tetramerization [GO:0051262]
5,0.00494546837059247,endochondral bone morphogenesis [GO:0060350]
5,0.00573273870437228,positive regulation of osteoblast differentiation [GO:0045669]
6,7.71125331595038e-05,vesicle localization [GO:0051648]
6,0.000438608354231753,COPI-coated vesicle budding [GO:0035964]
6,0.000438608354231753,Golgi vesicle budding [GO:0048194]
7,0.00168023781827531,protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine [GO:0018272]
7,0.00168023781827531,protein-pyridoxal-5-phosphate linkage [GO:0018352]
7,0.00168023781827531,cysteine biosynthetic process [GO:0019344]
8,0.00043833150944974,negative regulation of phosphoprotein phosphatase activity [GO:0032515]
8,0.00255731631092568,regulation of phosphoprotein phosphatase activity [GO:0043666]
8,0.00255731631092568,regulation of lipoprotein lipase activity [GO:0051004]
9,0.000309195398288061,regulation of angiogenesis [GO:0045765]
9,0.000403814018811595,regulation of vasculature development [GO:1901342]
9,0.00101839009297523,system process [GO:0003008]
10,0.00152104640782399,embryonic skeletal joint morphogenesis [GO:0060272]
10,0.00250826947393608,embryonic skeletal joint development [GO:0072498]
10,0.00730396036143954,positive regulation of protein catabolic process [GO:0045732]
11,0.00183813418854416,multi-organism process [GO:0051704]
11,0.00323122657360675,abscission [GO:0009838]
11,0.00323122657360675,virion assembly [GO:0019068]
12,0.00201882029919093,somatic diversification of immunoglobulins [GO:0016445]
12,0.00239008848500771,embryonic cranial skeleton morphogenesis [GO:0048701]
12,0.00311746581180723,somatic diversification of immune receptors [GO:0002200]
13,0.0024557321959412,open tracheal system development [GO:0007424]
13,0.0024557321959412,ectodermal digestive tract development [GO:0007439]
13,0.0024557321959412,ectodermal digestive tract morphogenesis [GO:0048567]
14,0.000761560339597569,positive regulation of transcription from RNA polymerase I promoter [GO:0045943]
14,0.00105436960550123,muscle adaptation [GO:0043500]
14,0.00154940428197758,neuron migration [GO:0001764]
15,0.000208436582922364,cellular response to dsRNA [GO:0071359]
15,0.000277364941518312,response to dsRNA [GO:0043331]
15,0.00185851485977701,protein localization to organelle [GO:0033365]
16,0.000108097714322059,single-organism cellular process [GO:0044763]
16,0.000240986389643616,single-organism process [GO:0044699]
16,0.000607441839578343,cellular protein complex assembly [GO:0043623]
17,4.9592897307176e-05,negative regulation of viral transcription [GO:0032897]
17,0.000214313885221621,regulation of organelle organization [GO:0033043]
17,0.000246046877997744,regulation of stress fiber assembly [GO:0051492]
18,0.00168023781827531,carbohydrate mediated signaling [GO:0009756]
18,0.00168023781827531,hexose mediated signaling [GO:0009757]
18,0.00168023781827531,sugar mediated signaling pathway [GO:0010182]
19,0.00413196021909001,response to lithium ion [GO:0010226]
19,0.00413196021909001,cellular response to lithium ion [GO:0071285]
19,0.00619193289349163,soft palate development [GO:0060023]
